m199,m99,m49,m19,m9,m5,m3,m1,p5
-117.43498609987,-80.7057981724555,-48.0504627511701,-23.0272958674971,1.42989525049559,3.37298096210015,5.31078814324758,0.182989055846846,-7.72835509260888
-124.238773928082,-95.7361798556861,-49.4454052119983,-17.1518874112946,-6.7266980738267,-3.19398890810424,4.28528832965592,-1.67690381060289,-9.56049853897073
-109.622630638935,-85.8195540704039,-42.3471798121795,-9.94526703923488,-0.540415970501808,6.98450193005704,1.94734113037967,3.3876822031457,-19.3956328858674
-135.037011147033,-106.493490282233,-59.6952977743381,-22.8308222341501,-5.97296251451112,-0.176005791963646,-6.41609766449052,-8.33094081961279,-14.4468300233426
-135.262996276725,-112.515193776629,-70.8401038934452,-20.3564619931676,-5.39746919661706,-8.87700397917013,-7.27765907084458,-2.5000959606945,-2.82060468032295
-138.487843635786,-109.151120292388,-68.8021611314159,-21.8293341808359,-9.9926902907993,-8.37565549022723,-10.3257587795964,0.642618782774505,-7.95105672969966
-149.730314259716,-116.247741629192,-74.2822666789751,-30.3136003376017,-6.45465455168867,-10.5711535164647,-5.6469160875127,-3.73669704202878,-2.33156180353162
-181.1693649262,-118.654801472428,-95.1359851327687,-42.6846788892463,-14.7235624173546,-24.0627568707337,-11.7286730281262,-8.40070047532254,14.2110717987206
-186.983768010213,-123.020973919387,-98.9020609155572,-41.3933977749407,-24.1583074958964,-16.8863760714937,-14.7729345248951,-2.06456319533102,20.1794637971913
-161.347552746783,-90.2676014614397,-70.886409268951,-19.3522267206478,-12.2425199960502,-2.90247193969916,0.162601626016262,9.76268062275764,12.8527698232448
-162.685752955475,-95.8775273450447,-81.7326814716606,-16.0534747541708,-15.7952159982322,-8.63785769528228,3.39119986741797,-4.89517732847198,13.9521876035797
-148.801663493607,-105.202468235644,-81.9128826237831,-20.8260758023791,-17.1804323463091,-2.38722134456731,7.45804134429727,2.23194393810507,12.8468424676955
-136.029839724133,-92.550082297058,-68.1075431668409,-9.21288965935902,-0.272237416060139,12.4428144967989,4.93281681238148,7.30034358239405,14.5769055054541
-124.541083916084,-77.5665306915307,-57.4033605283605,-3.06915306915308,5.11242229992229,16.7911081973582,12.0920745920746,3.00420066045066,18.5703185703186
-119.977950055125,-71.196822007945,-52.0839531234505,3.89549026127435,8.22731276505142,11.3889715275712,13.59571601071,3.9042402393994,12.7913013550799
