date,open,high,low,close
2023-02-27,12106.8,12159.6,12034.6,12057.8
2023-02-28,12041.7,12146.5,12021.3,12042.1
2023-03-01,12026.7,12054.5,11906.6,11938.6
2023-03-02,11830.1,12074.6,11830.1,12044.9
2023-03-03,12110.7,12300.5,12095.2,12290.8
2023-03-06,12344.6,12466.9,12297.6,12302.5
2023-03-07,12303.2,12344,12130,12152.2
2023-03-08,12181.1,12237.7,12102.3,12215.3
2023-03-09,12230.8,12340.4,11970.3,11995.9
2023-03-10,12001.7,12069.6,11789.9,11830.3
2023-03-13,11752.1,12074,11695.4,11923.2
2023-03-14,12078.5,12217.9,12035.2,12199.8
2023-03-15,12083.2,12269.4,12026.2,12251.3
2023-03-16,12211.9,12595.7,12190.7,12581.4
2023-03-17,12570.2,12674.3,12444.1,12519.9
2023-03-20,12487.8,12578.3,12407.8,12562.6
2023-03-21,12643.3,12762.5,12582.8,12741.4
2023-03-22,12742.4,12943.6,12563.8,12567.2
2023-03-23,12735.6,12900.1,12611.7,12729.2
2023-03-24,12700.5,12770.3,12608.2,12767
2023-03-27,12797.9,12839.4,12647.9,12673.1
2023-03-28,12654.9,12654.9,12517.9,12610.6
2023-03-29,12768.1,12867.3,12734.7,12846
2023-03-30,12935,12988,12894.1,12963.1
2023-03-31,12969,13188.8,12968,13181.4
2023-04-03,13084.1,13157.5,13036.5,13148.4
2023-04-04,13165.3,13204.1,13050,13100.1
2023-04-05,13056.8,13065.3,12894.4,12967.2
2023-04-06,12892.9,13078.1,12846,13062.6
2023-04-10,12936.5,13051.9,12861.5,13051.2
2023-04-11,13040.5,13049.6,12947.7,12964.2
2023-04-12,13044,13072,12833.3,12848.3
2023-04-13,12922.9,13124.4,12920,13109.4
2023-04-14,13044.7,13152.3,12962.5,13079.5
2023-04-17,13053.3,13105.7,12981.3,13087.7
2023-04-18,13180.3,13196.2,13044.2,13091.8
2023-04-19,12992.5,13128.2,12988.2,13088.7
2023-04-20,12962.3,13107.9,12933.8,12986
2023-04-21,12970.3,13030.8,12899.6,13000.8
2023-04-24,12981.7,13044.2,12883.8,12969.8
2023-04-25,12905.1,12933.3,12724.2,12725.1
2023-04-26,12866.6,12929.6,12783.4,12806.5
2023-04-27,12963.2,13175.6,12938.5,13160
2023-04-28,13139.3,13247.4,13096.9,13246
2023-05-01,13229.1,13287.5,13186.4,13231.5
2023-05-02,13225.5,13241.5,13046.8,13113.7
2023-05-03,13123.1,13198.6,13108.8,13174.1
2023-05-23,13773.7,13827.1,13662.9,13672.5
2023-05-24,13589,13655.7,13520.9,13604.5
